prereq,course
CPSC-50100,CPSC-51100
CPSC-50100,CPSC-55200
CPSC-50100,CPSC-51000
CPSC-50100,CPSC-53000
CPSC-50100,CPSC-54000
CPSC-50100,CPSC-55000
CPSC-50100,CPSC-51700
CPSC-50100,CPSC-55200
CPSC-50100,CPSC-55500
CPSC-50100,CPSC-57100
CPSC-57100,CPSC-57200
CPSC-57100,CPSC-57400
MATH-51100,MATH-51200
MATH-51000,CPSC-59000
MATH-51100,CPSC-59000
MATH-51200,CPSC-59000
CPSC-50100,CPSC-59000
CPSC-51000,CPSC-59000
CPSC-51100,CPSC-59000
CPSC-53000,CPSC-59000
CPSC-54000,CPSC-59000
CPSC-55000,CPSC-59000
